Width Items Speedup1Thread Speedup2Threads Speedup3Threads Speedup4Threads
80000 2000 1 2.367180008359902 3.337927899469147 4.239630479564326
160000 4000 1 2.3732501014757426 3.3385728557377745 4.267503581484958
320000 8000 1 2.356826577685267 3.3298953998397964 4.205178794271567
