Width Items Result ProblemSolvingTime TotalTime Nthreads
Time spent in knapSack loop  0.214265 seconds   
20000 2000 3666 0.217140 0.218079 1
20000 2000 3666 0.124687 0.124687 2
20000 2000 3666 0.121517 0.121517 3
20000 2000 3666 0.088712 0.088712 4
20000 2000 3666 0.086432 0.086432 5
20000 2000 3666 0.080225 0.080225 6
20000 2000 3666 0.07795 0.07795 7
20000 2000 3666 0.061179 0.061179 8
